P0,P1,P2
13430.77346,11857.92953,14618.27895
11794.35903,11467.56816,15288.45668
11570.13421,11283.3219,14618.33334
11156.91448,11553.18054,14842.23273
12421.66058,11591.85941,14758.75379
12572.34577,11899.33986,14558.07494
12197.77631,11412.11932,15683.21549
12040.06018,11272.86164,14062.35154
12311.4456,12136.37709,14643.09288
12011.97135,11674.57724,15657.72554
13963.83411,11215.62504,13934.51754
11452.1692,11392.07824,15713.37333
13117.44501,10954.21098,15368.22445
12484.90061,11408.06772,14214.55741
12380.62686,11206.72625,14911.07495
11989.20408,10443.12954,14631.85927
11887.23644,11905.9687,15123.30638
11813.89981,11343.33986,15757.72613
12971.80674,12296.30364,14965.5322
12863.98126,12287.78717,15372.52297
10674.13737,10946.84073,14603.44521
11129.86703,11763.21005,15347.43902
13416.7784,10846.65608,14286.67119
13548.17969,11445.0523,14582.46213
11850.44438,11539.44921,14537.85346
13674.23791,11364.3701,14747.8845
12160.89985,11831.41916,14478.68374
9892.723035,12144.12737,14769.58919
12247.11543,10865.24807,14684.995
13400.42673,11531.02448,14750.44714
11774.34293,11676.384,15506.53249
14208.93131,11312.25115,14214.39886
13297.91881,10579.72931,15550.48554
11637.83319,11268.005,15264.7311
12103.29096,11336.19884,15332.85003
11806.09331,11661.86978,15636.93274
11464.95738,11203.36117,14655.33753
14288.82273,11788.99618,14680.48439
12524.40104,11672.78031,14538.89264
14172.7331,11683.57354,15542.24002
11571.03768,11297.25189,15046.67846
12861.2192,11814.54256,14628.6114
13001.17045,11669.29921,14453.93515
10884.5936,11445.56216,14690.70931
11553.73229,11495.35836,15076.19815
13303.03665,10732.29249,15582.18439
12419.35956,12115.84769,15135.71939
9494.720817,11512.89001,15637.86977
11910.43949,11223.70863,15527.71421
12925.00739,11725.88119,14572.66398
12946.26347,11638.18588,14594.01287
13435.98921,11326.62511,14748.38283
11559.40814,11450.77177,15025.94448
13175.54703,10768.0144,14377.22339
13258.12639,12037.23612,14937.53479
12724.24579,11125.13822,14824.27394
12284.48603,11529.7079,15334.2656
12879.03223,11501.60774,15641.40012
12458.7439,11705.21304,14204.43025
11938.86516,11542.36901,14754.23074
12322.8455,11186.29495,14431.18254
12414.24281,11410.17793,15450.33047
13585.95025,11012.4224,14380.48934
13205.11515,11749.60738,15680.81818
13421.0334,11773.85862,14422.61608
11606.44412,11150.6037,15746.48693
10947.94453,12120.9928,16604.73934
13814.04586,11375.03053,14934.42498
12639.21368,11354.90252,14760.96613
13813.05098,11648.77738,15424.71126
14233.96742,11633.14579,14911.96226
14492.61955,12048.90103,15189.23315
12312.23803,11997.80534,14692.84931
12237.32091,11822.99924,15010.7962
12092.79515,11326.11624,15749.56931
12180.04423,10883.86767,15528.21989
12667.50127,11462.63399,14488.57317
11993.99161,11406.06323,14229.90383
11800.88006,11618.63914,15225.01524
12165.33991,11352.65756,15844.8045
12135.50041,11708.66416,14959.29537
13734.91045,11163.66884,14761.97333
15209.27944,11529.26011,15009.21848
12334.87234,11875.20977,15598.11468
11411.11124,12227.17184,14990.06484
12337.64557,10312.84815,15494.24484
11510.99158,12066.0329,15043.76298
11886.93196,11330.70153,15369.08121
12284.04332,11489.30629,14765.02486
13656.35653,11767.63876,14852.63999
13207.51599,11577.3559,15183.0307
12351.25155,11904.98771,16172.6015
13472.73581,11585.66548,15109.535
11986.17627,10995.62522,15765.70769
11665.72144,11803.82257,15366.97658
10884.21728,11577.23847,15294.88735
11918.19348,12073.89837,14696.35749
11286.45886,12139.63657,14952.21136
13465.40554,11351.88293,15579.26965
